Date,Baton,Gun,Hands,K9,OC,Taser,Sage,Misc,Nature of Case,Violation Charged #1,#2,#3,#4,#5,SNspect INjNred,Officer Injured,Proper Procedure,,,,,,,,,,,,,,,,,,,,,,,,,
2512004,N,N,Y,N,N,N,N,Y,415.1,415.1,,,,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
9/26/04,Y,N,N,N,N,Y,N,Y,21950(a),11378,11377,1203.2,11364,,Y,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
9/27/04,Y,N,Y,N,N,N,N,N,647(t),647(t),148(a)(l),,,,Y,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
9/29/04,N,N,Y,N,N,N,N,N,415,243(c)(2),,,,,Y,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
10/1/04,N,N,Y,N,N,N,N,N,602.1,warrant,,,,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
10/1/04,Y,N,Y,N,N,Y,N,N,415,148(a)(l),,,,,Y,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
10/2/04,N,N,N,Y,N,N,N,N,10851,496(d),1203.2,,,,Y,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
10/3/04,N,N,Y,N,N,N,N,N,2120l(d),11377(a),11378,148(a)(l),2800(a),,Y,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
7/25/04,Y,N,Y,N,N,N,N,N,Warrant 3056,,11350(a),11351.5,11352,,Y,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,
10/6/04,N,N,Y,N,N,N,N,N,602.l(a),647(t),148(a)(l),602.l(a),,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
10/8/04,N,N,Y,N,N,N,N,N,626.8(a),626.8(a),,,,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
