Date,Baton,Gun,Hands,K9,OC,Taser,Sage,Suspect Injured,Officer Injured,Day,Month,Year
2006-06-10,1,0,0,0,0,0,0,1,0,10,6,2006
2006-06-10,0,0,0,1,0,0,0,1,0,10,6,2006
2006-06-11,0,0,0,1,0,0,0,0,0,11,6,2006
2006-06-14,0,0,1,0,0,0,0,1,0,14,6,2006
2006-06-15,1,0,1,0,1,0,0,1,0,15,6,2006
2006-06-16,0,0,0,1,0,0,0,0,0,16,6,2006
2006-06-18,0,0,0,0,0,0,1,0,0,18,6,2006
2006-06-20,0,0,0,0,0,1,0,1,0,20,6,2006
2006-06-22,0,0,0,0,0,1,0,1,1,22,6,2006
2006-06-23,0,0,1,0,0,1,0,1,0,23,6,2006
2006-06-23,0,0,1,0,0,0,0,0,1,23,6,2006
2006-06-25,0,0,1,0,0,0,0,1,0,25,6,2006
2006-06-28,0,0,1,0,0,0,0,0,0,28,6,2006
2006-06-28,0,0,1,0,0,1,0,1,0,28,6,2006
2006-07-03,0,0,1,0,0,1,0,0,0,3,7,2006
2006-07-03,0,0,1,0,0,0,0,0,0,3,7,2006
2006-07-04,0,0,1,0,0,0,1,0,1,4,7,2006
2006-07-05,0,0,1,0,0,0,0,0,0,5,7,2006
2006-07-05,0,0,1,0,0,0,0,1,0,5,7,2006
2006-07-06,0,0,0,1,0,0,0,0,0,6,7,2006
2006-07-08,0,0,1,0,0,0,0,0,0,8,7,2006
2006-07-10,0,0,1,0,0,0,0,1,0,10,7,2006
2006-07-11,0,0,1,0,0,0,0,0,0,11,7,2006
2006-07-14,0,0,1,0,0,0,0,0,0,14,7,2006
2006-07-14,0,0,1,0,0,0,0,0,0,14,7,2006
2006-07-15,0,0,1,0,0,1,0,1,0,15,7,2006
2006-07-19,0,0,0,0,1,0,0,1,0,19,7,2006
2006-07-20,0,0,1,0,0,0,0,0,0,20,7,2006
2006-07-20,0,0,1,0,0,0,0,0,0,20,7,2006
